period,n_teams,lb,elo_k,sigma_diff,acc,mae,corr,cp_min,cp_max,train_r2,test_r2,val_r2,train_sign,test_sign,sigma_source
20,20,5,64,18.266,0.65,10.8002,0.4167,0.0169,0.9462,0.695,0.152,,0.842,0.677,test
21,23,5,16,18.017,0.6087,14.1041,0.1597,0.2357,0.7643,0.437,0.216,,0.743,0.692,test
22,28,5,64,18.456,0.5357,12.5546,0.37,0.0397,0.8923,0.482,0.202,,0.767,0.673,test
23,14,3,32,18.489,0.7143,11.2451,0.157,0.0715,0.8599,0.644,0.164,,0.823,0.654,test
24,30,3,48,19.019,0.3667,18.0444,-0.259,0.1583,0.8417,0.46,0.164,,0.746,0.653,test
25,22,7,48,19.967,0.5909,11.5124,0.2498,0.2783,0.6614,0.366,0.134,,0.741,0.658,test
26,22,5,32,19.425,0.5909,9.4076,-0.1028,0.1403,0.7517,0.466,0.137,,0.761,0.653,test
27,21,15,32,21.854,0.4762,15.0969,0.0996,0.1684,0.7401,0.505,0.069,,0.779,0.581,test
28,26,15,48,21.32,0.6154,10.5085,0.5289,0.1726,0.7633,0.432,0.116,,0.755,0.602,test
29,16,15,32,22.399,0.6875,15.2854,0.6067,0.121,0.879,0.577,0.054,,0.797,0.567,test
30,30,10,48,20.801,0.5,11.6038,-0.0117,0.1668,0.7931,0.498,0.082,,0.759,0.616,test
31,22,10,48,20.972,0.5455,9.6982,0.1816,0.2007,0.7833,0.737,0.048,,0.847,0.631,test
32,24,10,32,20.11,0.7083,10.9177,0.2792,0.1157,0.7494,0.375,0.12,,0.737,0.631,test
33,22,5,64,19.643,0.4091,12.4012,-0.0117,0.1783,0.8217,0.429,0.133,,0.744,0.632,test
34,14,15,64,21.435,0.7857,9.2828,0.7335,0.1689,0.8311,0.533,0.062,,0.761,0.578,test
35,14,15,16,20.955,0.6429,12.965,-0.0547,0.1311,0.6031,0.448,0.096,,0.751,0.613,test
36,22,10,32,20.237,0.6818,16.6033,0.3673,0.2493,0.8443,0.365,0.14,,0.721,0.634,test
37,21,5,32,19.772,0.4286,10.946,0.031,0.2587,0.6078,0.259,0.147,,0.707,0.628,test
38,18,15,32,22.483,0.3889,14.7291,-0.2352,0.1854,0.671,0.618,-0.025,,0.777,0.561,test
39,21,5,32,20.048,0.4286,13.0731,0.2551,0.096,0.7781,0.421,0.116,,0.738,0.618,test
40,22,3,64,19.408,0.5909,12.7657,0.3004,0.1263,0.7657,0.385,0.159,,0.728,0.639,test
41,17,5,32,20.156,0.4706,12.5806,0.0848,0.1893,0.7814,0.445,0.11,,0.733,0.629,test
42,23,10,48,17.373,0.6087,12.0142,0.43,0.1445,0.7948,0.328,0.135,0.213,0.707,0.627,val
43,25,10,48,24.797,0.4,17.7373,-0.1083,0.2704,0.7429,0.392,0.123,0.03,0.728,0.627,val
44,25,3,48,22.368,0.6,12.8617,0.1616,0.0795,0.7829,0.396,0.144,0.126,0.733,0.631,val
45,16,5,48,23.577,0.4375,14.3882,0.2457,0.2116,0.7856,0.365,0.151,0.041,0.726,0.632,val
46,6,10,48,23.288,0.8333,8.1594,0.684,0.1037,0.5681,0.343,0.141,0.039,0.723,0.625,val
47,19,15,48,21.805,0.6842,12.1906,0.443,0.2649,0.6714,0.298,0.13,0.15,0.706,0.587,val
48,19,15,32,21.685,0.5263,15.9583,0.0754,0.2046,0.7641,0.366,0.122,0.181,0.722,0.609,val
49,24,10,32,23.139,0.5,14.2551,0.2105,0.2626,0.7176,0.372,0.109,0.065,0.736,0.619,val
50,24,5,48,22.632,0.5833,11.781,0.3651,0.2112,0.7723,0.481,0.105,0.11,0.762,0.625,val
