Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,15,0.62505007,3.3176637,-5.5,8,New England Patriots,0.16724133491516113,6.998418092727661
Atlanta Falcons,2024,15,0.45912665,0.029260214,-4.5,15,Las Vegas Raiders,-0.14507752656936646,-2.2876588739454746
Baltimore Ravens,2024,15,0.42611682,-4.5885415,-14.5,1,New York Giants,0.0578693151473999,-3.3624558448791504
Buffalo Bills,2024,15,0.57397723,1.9052233,2.5,9,Detroit Lions,0.07854676246643066,-0.2788323163986206
Carolina Panthers,2024,15,0.47319806,0.6210392,-2.5,2,Dallas Cowboys,-0.007699370384216309,1.3633561730384827
Chicago Bears,2024,15,0.6399572,-1.0696517,6.5,14,Minnesota Vikings,0.22824764251708984,-0.05254244804382324
Cincinnati Bengals,2024,15,0.5312025,-0.34081554,-5.0,3,Tennessee Titans,0.0797586441040039,-1.128596842288971
Cleveland Browns,2024,15,0.61938673,2.8631482,4.0,4,Kansas City Chiefs,0.12354409694671631,4.322744727134705
Dallas Cowboys,2024,15,0.48089743,-0.74231696,2.5,2,Carolina Panthers,0.007699370384216309,-1.3633561730384827
Denver Broncos,2024,15,0.53072846,2.6215882,-4.0,10,Indianapolis Colts,0.10751861333847046,4.191734433174133
Detroit Lions,2024,15,0.49543047,2.1840556,-2.5,9,Buffalo Bills,-0.07854676246643066,0.2788323163986206
Green Bay Packers,2024,15,0.43551004,-1.1171016,-2.5,13,Seattle Seahawks,-0.06971317529678345,-1.3163378536701202
Houston Texans,2024,15,0.4677444,0.99111366,-3.0,5,Miami Dolphins,-0.04671519994735718,2.560583233833313
Indianapolis Colts,2024,15,0.42320985,-1.5701462,4.0,10,Denver Broncos,-0.10751861333847046,-4.191734433174133
Jacksonville Jaguars,2024,15,0.57130396,-1.670275,3.0,6,New York Jets,0.0045087337493896484,-3.1912002563476562
Kansas City Chiefs,2024,15,0.49584264,-1.4595965,-4.0,4,Cleveland Browns,-0.12354409694671631,-4.322744727134705
Las Vegas Raiders,2024,15,0.6042042,2.316919,4.5,15,Atlanta Falcons,0.14507752656936646,2.2876588739454746
Los Angeles Chargers,2024,15,0.54798865,-1.2835305,-3.0,11,Tampa Bay Buccaneers,-0.02370166778564453,-1.2939543686807156
Los Angeles Rams,2024,15,0.49524432,-0.37210205,2.5,0,San Francisco 49ers,0.05089849233627319,0.20564916729927063
Miami Dolphins,2024,15,0.5144596,-1.5694696,3.0,5,Houston Texans,0.04671519994735718,-2.560583233833313
Minnesota Vikings,2024,15,0.41170955,-1.0171093,-6.5,14,Chicago Bears,-0.22824764251708984,0.05254244804382324
New England Patriots,2024,15,0.45780873,-3.6807544,5.5,8,Arizona Cardinals,-0.16724133491516113,-6.998418092727661
New Orleans Saints,2024,15,0.45184606,-5.4656076,7.5,7,Washington Commanders,0.07483774423599243,-6.686903119087219
New York Giants,2024,15,0.3682475,-1.2260857,14.5,1,Baltimore Ravens,-0.0578693151473999,3.3624558448791504
New York Jets,2024,15,0.56679523,1.5209253,-3.0,6,Jacksonville Jaguars,-0.0045087337493896484,3.1912002563476562
Philadelphia Eagles,2024,15,0.427136,-3.2896605,-5.0,12,Pittsburgh Steelers,-0.09890192747116089,-1.6732845306396484
Pittsburgh Steelers,2024,15,0.52603793,-1.6163759,5.0,12,Philadelphia Eagles,0.09890192747116089,1.6732845306396484
San Francisco 49ers,2024,15,0.44434583,-0.5777512,-2.5,0,Los Angeles Rams,-0.05089849233627319,-0.20564916729927063
Seattle Seahawks,2024,15,0.5052232,0.1992363,2.5,13,Green Bay Packers,0.06971317529678345,1.3163378536701202
Tampa Bay Buccaneers,2024,15,0.5716903,0.010423895,3.0,11,Los Angeles Chargers,0.02370166778564453,1.2939543686807156
Tennessee Titans,2024,15,0.45144385,0.7877813,5.0,3,Cincinnati Bengals,-0.0797586441040039,1.128596842288971
Washington Commanders,2024,15,0.37700832,1.2212955,-7.5,7,New Orleans Saints,-0.07483774423599243,6.686903119087219
