Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,16,0.50685185,0.5815448,-4.0,5,Carolina Panthers,0.06245315074920654,1.4863620400428772
Atlanta Falcons,2024,16,0.5355856,0.24649727,-8.0,6,New York Giants,-0.06367045640945435,-1.626404047012329
Baltimore Ravens,2024,16,0.36718637,-4.975871,-6.0,2,Pittsburgh Steelers,-0.05550354719161987,-1.824411153793335
Buffalo Bills,2024,16,0.52526355,1.3546495,-14.0,11,New England Patriots,0.16906768083572388,5.940524101257324
Carolina Panthers,2024,16,0.4443987,-0.9048172,4.0,5,Arizona Cardinals,-0.06245315074920654,-1.4863620400428772
Chicago Bears,2024,16,0.52123076,0.9090474,7.0,7,Detroit Lions,-0.024797439575195312,-0.6533128619194031
Cincinnati Bengals,2024,16,0.4466207,-1.1636789,-7.0,3,Cleveland Browns,-0.0360988974571228,-2.0828422904014587
Cleveland Browns,2024,16,0.4827196,0.9191634,7.0,3,Cincinnati Bengals,0.0360988974571228,2.0828422904014587
Dallas Cowboys,2024,16,0.413741,-1.1063825,4.0,14,Tampa Bay Buccaneers,-0.1250339150428772,-0.6657496988773346
Denver Broncos,2024,16,0.5499766,0.57724094,3.0,0,Los Angeles Chargers,0.14530211687088013,2.921133041381836
Detroit Lions,2024,16,0.5460282,1.5623603,-7.0,7,Chicago Bears,0.024797439575195312,0.6533128619194031
Green Bay Packers,2024,16,0.45763332,-2.023829,-13.5,15,New Orleans Saints,-0.03303033113479614,-0.4828910827636719
Houston Texans,2024,16,0.54688835,0.6916279,-2.5,1,Kansas City Chiefs,0.13324737548828125,4.22708934545517
Indianapolis Colts,2024,16,0.42503607,-1.7200857,-4.5,8,Tennessee Titans,-0.06638985872268677,-2.6702718138694763
Jacksonville Jaguars,2024,16,0.43274212,-1.5742596,1.0,13,Las Vegas Raiders,-0.02631521224975586,-2.688405156135559
Kansas City Chiefs,2024,16,0.41364098,-3.5354614,2.5,1,Houston Texans,-0.13324737548828125,-4.22708934545517
Las Vegas Raiders,2024,16,0.45905733,1.1141455,-1.0,13,Jacksonville Jaguars,0.02631521224975586,2.688405156135559
Los Angeles Chargers,2024,16,0.40467447,-2.343892,-3.0,0,Denver Broncos,-0.14530211687088013,-2.921133041381836
Los Angeles Rams,2024,16,0.56516486,1.7267743,-3.5,4,New York Jets,0.10891932249069214,2.5390482544898987
Miami Dolphins,2024,16,0.4180562,-1.1204584,-1.5,12,San Francisco 49ers,-0.04502713680267334,-1.3493451029062271
Minnesota Vikings,2024,16,0.5199614,1.2103232,-3.5,10,Seattle Seahawks,0.0049204230308532715,0.8860357403755188
New England Patriots,2024,16,0.35619587,-4.5858746,14.0,11,Buffalo Bills,-0.16906768083572388,-5.940524101257324
New Orleans Saints,2024,16,0.49066365,-1.5409379,13.5,15,Green Bay Packers,0.03303033113479614,0.4828910827636719
New York Giants,2024,16,0.59925604,1.8729013,8.0,6,Atlanta Falcons,0.06367045640945435,1.626404047012329
New York Jets,2024,16,0.45624554,-0.8122739,3.5,4,Los Angeles Rams,-0.10891932249069214,-2.5390482544898987
Philadelphia Eagles,2024,16,0.47182202,-1.2113361,-3.0,9,Washington Commanders,-0.07585477828979492,-1.3240010291337967
Pittsburgh Steelers,2024,16,0.4226899,-3.15146,6.0,2,Baltimore Ravens,0.05550354719161987,1.824411153793335
San Francisco 49ers,2024,16,0.46308333,0.22888674,1.5,12,Miami Dolphins,0.04502713680267334,1.3493451029062271
Seattle Seahawks,2024,16,0.515041,0.32428747,3.5,10,Minnesota Vikings,-0.0049204230308532715,-0.8860357403755188
Tampa Bay Buccaneers,2024,16,0.5387749,-0.4406328,-4.0,14,Dallas Cowboys,0.1250339150428772,0.6657496988773346
Tennessee Titans,2024,16,0.49142593,0.9501861,4.5,8,Indianapolis Colts,0.06638985872268677,2.6702718138694763
Washington Commanders,2024,16,0.5476768,0.11266489,3.0,9,Philadelphia Eagles,0.07585477828979492,1.3240010291337967
