Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2025,6,0.4941101,-8.660176,7.0,4.0,Indianapolis Colts,0.0016224980354309082,-11.810257911682129
Atlanta Falcons,2025,6,0.47475266,4.25324,4.5,13.0,Buffalo Bills,-0.02390873432159424,4.996723175048828
Baltimore Ravens,2025,6,0.4986614,-6.04413,7.5,5.0,Los Angeles Rams,0.03853839635848999,0.061086177825927734
Buffalo Bills,2025,6,0.4986614,-0.7434832,-4.5,13.0,Atlanta Falcons,0.02390873432159424,-4.996723175048828
Carolina Panthers,2025,6,0.50252175,4.588907,3.0,6.0,Dallas Cowboys,0.01036226749420166,-0.7126178741455078
Chicago Bears,2025,6,0.47475266,-1.1786772,4.5,14.0,Washington Commanders,-0.034456074237823486,-2.247042179107666
Cincinnati Bengals,2025,6,0.48194396,6.406786,14.0,10.0,Green Bay Packers,0.013005077838897705,2.600043296813965
Cleveland Browns,2025,6,0.48194396,0.44596723,5.5,7.0,Pittsburgh Steelers,0.08731704950332642,9.929121017456055
Dallas Cowboys,2025,6,0.4921595,5.3015246,-3.0,6.0,Carolina Panthers,-0.01036226749420166,0.7126178741455078
Denver Broncos,2025,6,0.4966895,-6.3020105,-7.5,1.0,New York Jets,0.06246274709701538,-8.03762435913086
Detroit Lions,2025,6,0.51103616,2.5029225,2.5,12.0,Kansas City Chiefs,0.05091315507888794,1.4827780723571777
Green Bay Packers,2025,6,0.4689389,3.8067427,-14.0,10.0,Cincinnati Bengals,-0.013005077838897705,-2.600043296813965
Houston Texans,2025,6,0.4924876,7.6425133,,,,,
Indianapolis Colts,2025,6,0.4924876,3.1500816,-7.0,4.0,Arizona Cardinals,-0.0016224980354309082,11.810257911682129
Jacksonville Jaguars,2025,6,0.45171183,-2.2703164,-1.5,2.0,Seattle Seahawks,-0.05799144506454468,-5.899768352508545
Kansas City Chiefs,2025,6,0.460123,1.0201445,-2.5,12.0,Detroit Lions,-0.05091315507888794,-1.4827780723571777
Las Vegas Raiders,2025,6,0.46464884,2.3169446,-4.5,9.0,Tennessee Titans,-0.026216506958007812,6.099678993225098
Los Angeles Chargers,2025,6,0.46464884,-4.568844,-4.5,8.0,Miami Dolphins,0.011356949806213379,2.6343302726745605
Los Angeles Rams,2025,6,0.460123,-6.105216,-7.5,5.0,Baltimore Ravens,-0.03853839635848999,-0.061086177825927734
Miami Dolphins,2025,6,0.4532919,-7.203174,4.5,8.0,Los Angeles Chargers,-0.011356949806213379,-2.6343302726745605
Minnesota Vikings,2025,6,0.4412542,2.6813638,,,,,
New England Patriots,2025,6,0.43469048,-8.25704,-3.5,3.0,New Orleans Saints,0.023293495178222656,-1.135584831237793
New Orleans Saints,2025,6,0.41139698,-7.121455,3.5,3.0,New England Patriots,-0.023293495178222656,1.135584831237793
New York Giants,2025,6,0.42975938,-5.361481,7.0,0.0,Philadelphia Eagles,0.0,2.538118362426758
New York Jets,2025,6,0.43422675,1.7356137,7.5,1.0,Denver Broncos,-0.06246274709701538,8.03762435913086
Philadelphia Eagles,2025,6,0.42975938,-7.8995996,-7.0,0.0,New York Giants,0.0,-2.538118362426758
Pittsburgh Steelers,2025,6,0.39462692,-9.483153,-5.5,7.0,Cleveland Browns,-0.08731704950332642,-9.929121017456055
San Francisco 49ers,2025,6,0.43353528,3.9456155,3.0,11.0,Tampa Bay Buccaneers,-0.06769198179244995,-3.5063722133636475
Seattle Seahawks,2025,6,0.5097033,3.629452,1.5,2.0,Jacksonville Jaguars,0.05799144506454468,5.899768352508545
Tampa Bay Buccaneers,2025,6,0.50122726,7.4519877,-3.0,11.0,San Francisco 49ers,0.06769198179244995,3.5063722133636475
Tennessee Titans,2025,6,0.49086535,-3.7827342,4.5,9.0,Las Vegas Raiders,0.026216506958007812,-6.099678993225098
Washington Commanders,2025,6,0.50920874,1.068365,-4.5,14.0,Chicago Bears,0.034456074237823486,2.247042179107666
