Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,18,0.51540655,0.68062687,-4.5,10,San Francisco 49ers,0.008822500705718994,1.3215963244438171
Atlanta Falcons,2024,18,0.52045363,0.51520723,-7.5,2,Carolina Panthers,0.019977271556854248,1.062694251537323
Baltimore Ravens,2024,18,0.4640596,-1.2622215,-19.5,0,Cleveland Browns,-0.0870901346206665,-2.300541400909424
Buffalo Bills,2024,18,0.4752916,-0.42034924,-3.5,3,New England Patriots,0.05004692077636719,1.2930667400360107
Carolina Panthers,2024,18,0.50047636,-0.547487,7.5,2,Atlanta Falcons,-0.019977271556854248,-1.062694251537323
Chicago Bears,2024,18,0.49035776,-0.77653277,9.5,4,Green Bay Packers,0.03816145658493042,1.284314513206482
Cincinnati Bengals,2024,18,0.49207115,0.25787708,-2.5,1,Pittsburgh Steelers,0.05357760190963745,2.8108842074871063
Cleveland Browns,2024,18,0.5511497,1.03832,19.5,0,Baltimore Ravens,0.0870901346206665,2.300541400909424
Dallas Cowboys,2024,18,0.47368127,-1.144523,6.5,5,Washington Commanders,-0.024528324604034424,-1.5956964194774628
Denver Broncos,2024,18,0.5292344,0.70714617,-10.5,11,Kansas City Chiefs,0.018662452697753906,2.275753140449524
Detroit Lions,2024,18,0.5071387,0.81873316,-3.0,15,Minnesota Vikings,0.019828617572784424,0.6670294851064682
Green Bay Packers,2024,18,0.4521963,-2.0608473,-9.5,4,Chicago Bears,-0.03816145658493042,-1.284314513206482
Houston Texans,2024,18,0.52169454,0.929012,1.5,6,Tennessee Titans,0.022802770137786865,0.8263496458530426
Indianapolis Colts,2024,18,0.48605555,-1.2518919,-3.0,7,Jacksonville Jaguars,-0.01732945442199707,0.37413597106933594
Jacksonville Jaguars,2024,18,0.503385,-1.6260278,3.0,7,Indianapolis Colts,0.01732945442199707,-0.37413597106933594
Kansas City Chiefs,2024,18,0.51057196,-1.568607,10.5,11,Denver Broncos,-0.018662452697753906,-2.275753140449524
Las Vegas Raiders,2024,18,0.4966817,0.41117862,4.5,12,Los Angeles Chargers,0.005243480205535889,2.6686609089374542
Los Angeles Chargers,2024,18,0.4914382,-2.2574823,-4.5,12,Las Vegas Raiders,-0.005243480205535889,-2.6686609089374542
Los Angeles Rams,2024,18,0.55265236,1.3616914,7.0,13,Seattle Seahawks,0.04377990961074829,1.395512804389
Miami Dolphins,2024,18,0.47713012,-0.7174619,0.5,14,New York Jets,-0.005093514919281006,-0.41891923546791077
Minnesota Vikings,2024,18,0.4873101,0.15170367,3.0,15,Detroit Lions,-0.019828617572784424,-0.6670294851064682
New England Patriots,2024,18,0.4252447,-1.713416,3.5,3,Buffalo Bills,-0.05004692077636719,-1.2930667400360107
New Orleans Saints,2024,18,0.41558295,-3.3646386,14.0,8,Tampa Bay Buccaneers,-0.09972542524337769,-3.588816538453102
New York Giants,2024,18,0.48718214,0.8014472,1.5,9,Philadelphia Eagles,0.037491679191589355,2.7720746397972107
New York Jets,2024,18,0.48222363,-0.29854265,-0.5,14,Miami Dolphins,0.005093514919281006,0.41891923546791077
Philadelphia Eagles,2024,18,0.44969046,-1.9706274,-1.5,9,New York Giants,-0.037491679191589355,-2.7720746397972107
Pittsburgh Steelers,2024,18,0.43849355,-2.5530071,2.5,1,Cincinnati Bengals,-0.05357760190963745,-2.8108842074871063
San Francisco 49ers,2024,18,0.50658405,-0.64096946,4.5,10,Arizona Cardinals,-0.008822500705718994,-1.3215963244438171
Seattle Seahawks,2024,18,0.50887245,-0.03382145,-7.0,13,Los Angeles Rams,-0.04377990961074829,-1.395512804389
Tampa Bay Buccaneers,2024,18,0.5153084,0.22417797,-14.0,8,New Orleans Saints,0.09972542524337769,3.588816538453102
Tennessee Titans,2024,18,0.49889177,0.102662355,-1.5,6,Houston Texans,-0.022802770137786865,-0.8263496458530426
Washington Commanders,2024,18,0.4982096,0.4511734,-6.5,5,Dallas Cowboys,0.024528324604034424,1.5956964194774628
