Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2025,5,0.52209485,-0.81432533,-7.5,8.0,Tennessee Titans,-0.0046443939208984375,-2.0907328128814697
Atlanta Falcons,2025,5,0.573519,3.1014037,,,,,
Baltimore Ravens,2025,5,0.4810769,3.3113134,1.5,2.0,Houston Texans,-0.07795506715774536,1.085801601409912
Buffalo Bills,2025,5,0.51917577,2.7614117,-8.5,12.0,New England Patriots,0.16827291250228882,8.32391357421875
Carolina Panthers,2025,5,0.4781577,2.7510147,1.5,3.0,Miami Dolphins,-0.00689244270324707,7.553509712219238
Chicago Bears,2025,5,0.49990422,-5.492087,,,,,
Cincinnati Bengals,2025,5,0.48233122,3.2509925,10.5,10.0,Detroit Lions,-0.07670074701309204,-0.43311500549316406
Cleveland Browns,2025,5,0.46220803,2.6000233,4.5,1.0,Minnesota Vikings,0.03826892375946045,6.676387786865234
Dallas Cowboys,2025,5,0.5561466,2.19674,-2.5,4.0,New York Jets,0.12583297491073608,-1.5347626209259033
Denver Broncos,2025,5,0.55903196,3.3347144,3.5,5.0,Philadelphia Eagles,0.06829464435577393,7.31416130065918
Detroit Lions,2025,5,0.55903196,3.6841075,-10.5,10.0,Cincinnati Bengals,0.07670074701309204,0.43311500549316406
Green Bay Packers,2025,5,0.5044378,3.7112932,,,,,
Houston Texans,2025,5,0.55903196,2.2255118,-1.5,2.0,Baltimore Ravens,0.07795506715774536,-1.085801601409912
Indianapolis Colts,2025,5,0.48331463,-3.0092998,-7.0,6.0,Las Vegas Raiders,0.050383687019348145,-3.8865249156951904
Jacksonville Jaguars,2025,5,0.5351967,4.1156683,3.5,13.0,Kansas City Chiefs,-0.0029082894325256348,0.7831554412841797
Kansas City Chiefs,2025,5,0.538105,3.3325129,-3.5,13.0,Jacksonville Jaguars,0.0029082894325256348,-0.7831554412841797
Las Vegas Raiders,2025,5,0.43293095,0.8772251,7.0,6.0,Indianapolis Colts,-0.050383687019348145,3.8865249156951904
Los Angeles Chargers,2025,5,0.45337433,-3.029454,-2.5,11.0,Washington Commanders,0.10941410064697266,-3.0749239921569824
Los Angeles Rams,2025,5,0.48824137,3.6294749,-7.5,0.0,San Francisco 49ers,0.02323085069656372,-0.2909882068634033
Miami Dolphins,2025,5,0.48505014,-4.802495,-1.5,3.0,Carolina Panthers,0.00689244270324707,-7.553509712219238
Minnesota Vikings,2025,5,0.4239391,-4.0763645,-4.5,1.0,Cleveland Browns,-0.03826892375946045,-6.676387786865234
New England Patriots,2025,5,0.35090286,-5.5625024,8.5,12.0,Buffalo Bills,-0.16827291250228882,-8.32391357421875
New Orleans Saints,2025,5,0.49073732,-0.09776495,-1.5,7.0,New York Giants,0.0,-0.0061919838190078735
New York Giants,2025,5,0.49073732,-0.09157296,1.5,7.0,New Orleans Saints,0.0,0.0061919838190078735
New York Jets,2025,5,0.43031365,3.7315025,2.5,4.0,Dallas Cowboys,-0.12583297491073608,1.5347626209259033
Philadelphia Eagles,2025,5,0.49073732,-3.979447,-3.5,5.0,Denver Broncos,-0.06829464435577393,-7.31416130065918
Pittsburgh Steelers,2025,5,0.49073732,-0.3172947,,,,,
San Francisco 49ers,2025,5,0.46501052,3.920463,7.5,0.0,Los Angeles Rams,-0.02323085069656372,0.2909882068634033
Seattle Seahawks,2025,5,0.5117419,3.477977,-3.5,9.0,Tampa Bay Buccaneers,0.028951644897460938,2.1021904945373535
Tampa Bay Buccaneers,2025,5,0.48279023,1.3757867,3.5,9.0,Seattle Seahawks,-0.028951644897460938,-2.1021904945373535
Tennessee Titans,2025,5,0.52673924,1.2764075,7.5,8.0,Arizona Cardinals,0.0046443939208984375,2.0907328128814697
Washington Commanders,2025,5,0.34396023,0.04546989,2.5,11.0,Los Angeles Chargers,-0.10941410064697266,3.0749239921569824
