,spread,order,opponent,Year,Week,coverprob,predspread,coverprob_diff,predspread_diff
Chicago Bears,-1.5,0,Minnesota Vikings,2025,1,0.5,0,0,0
Minnesota Vikings,1.5,0,Chicago Bears,2025,1,0.5,0,0,0
