Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Washington Commanders,2024,1,0.5820588,0.2921389,3.5,13,Tampa Bay Buccaneers,-0.03627371788024902,-7.9419757425785065
Chicago Bears,2024,1,0.46924376,-1.3520106,-3.5,5,Tennessee Titans,-0.14908874034881592,-4.166791796684265
Arizona Cardinals,2024,1,0.5,2.915258,6.5,2,Buffalo Bills,0.030756235122680664,8.916481971740723
Denver Broncos,2024,1,0.45286858,-7.027834,5.5,10,Seattle Seahawks,-0.16546392440795898,-8.483445763587952
Tennessee Titans,2024,1,0.6183325,2.8147812,3.5,5,Chicago Bears,0.14908874034881592,4.166791796684265
Houston Texans,2024,1,0.45286858,-4.480842,-2.5,7,Indianapolis Colts,0.0,-6.088098406791687
Kansas City Chiefs,2024,1,0.45286858,-2.3228574,-3.0,0,Baltimore Ravens,-0.016375184059143066,7.4588093757629395
New England Patriots,2024,1,0.5853474,2.8978314,8.5,6,Cincinnati Bengals,0.1161036491394043,11.349122524261475
Philadelphia Eagles,2024,1,0.5795515,-9.192802,-2.0,1,Green Bay Packers,0.12668293714523315,-11.576774597167969
Baltimore Ravens,2024,1,0.46924376,-9.781667,3.0,0,Kansas City Chiefs,0.016375184059143066,-7.4588093757629395
Carolina Panthers,2024,1,0.46924376,1.9689722,3.5,4,New Orleans Saints,-0.1161036491394043,-1.1044855117797852
Detroit Lions,2024,1,0.45286858,-2.8560944,-4.5,14,Los Angeles Rams,-0.035391390323638916,-6.7664313316345215
Las Vegas Raiders,2024,1,0.45286858,2.5929894,3.0,11,Los Angeles Chargers,0.0,3.3415740728378296
Los Angeles Chargers,2024,1,0.45286858,-0.7485846,-3.0,11,Las Vegas Raiders,0.0,-3.3415740728378296
Los Angeles Rams,2024,1,0.48825997,3.910337,4.5,14,Detroit Lions,0.035391390323638916,6.7664313316345215
Cincinnati Bengals,2024,1,0.46924376,-8.451291,-8.5,6,New England Patriots,-0.1161036491394043,-11.349122524261475
Jacksonville Jaguars,2024,1,0.45286858,-4.480842,3.5,8,Miami Dolphins,-0.035391390323638916,9.369415760040283
Tampa Bay Buccaneers,2024,1,0.6183325,8.234115,-3.5,13,Washington Commanders,0.03627371788024902,7.9419757425785065
Dallas Cowboys,2024,1,0.46924376,2.6703525,2.5,12,Cleveland Browns,0.0,-5.675398349761963
Green Bay Packers,2024,1,0.45286858,2.3839722,2.0,1,Philadelphia Eagles,-0.12668293714523315,11.576774597167969
Miami Dolphins,2024,1,0.48825997,-13.850258,-3.5,8,Jacksonville Jaguars,0.035391390323638916,-9.369415760040283
Minnesota Vikings,2024,1,0.48825997,-0.7485846,-1.5,9,New York Giants,-0.09708744287490845,-3.391551375389099
Seattle Seahawks,2024,1,0.6183325,1.4556118,-5.5,10,Denver Broncos,0.16546392440795898,8.483445763587952
Atlanta Falcons,2024,1,0.5,0.48704943,-3.5,3,Pittsburgh Steelers,-0.07955151796340942,-2.5850888788700104
Buffalo Bills,2024,1,0.46924376,-6.001224,-6.5,2,Arizona Cardinals,-0.030756235122680664,-8.916481971740723
New Orleans Saints,2024,1,0.5853474,3.0734577,-3.5,4,Carolina Panthers,0.1161036491394043,1.1044855117797852
Indianapolis Colts,2024,1,0.45286858,1.6072563,2.5,7,Houston Texans,0.0,6.088098406791687
New York Giants,2024,1,0.5853474,2.6429667,1.5,9,Minnesota Vikings,0.09708744287490845,3.391551375389099
Cleveland Browns,2024,1,0.46924376,8.345751,-2.5,12,Dallas Cowboys,0.0,5.675398349761963
Pittsburgh Steelers,2024,1,0.5795515,3.0721383,3.5,3,Atlanta Falcons,0.07955151796340942,2.5850888788700104
San Francisco 49ers,2024,1,0.5795515,-14.197685,-4.5,15,New York Jets,0.0,-15.72523844242096
New York Jets,2024,1,0.5795515,1.5275532,4.5,15,San Francisco 49ers,0.0,15.72523844242096
