Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,17,0.46688187,0.6473249,10.5,2,Philadelphia Eagles,0.12442934513092041,3.3013445138931274
Atlanta Falcons,2023,17,0.61617756,1.3759966,3.0,7,Chicago Bears,0.08371758460998535,0.9755900800228119
Baltimore Ravens,2023,17,0.45972604,-2.0983233,-3.0,3,Miami Dolphins,0.00028389692306518555,-0.3426269292831421
Buffalo Bills,2023,17,0.47689915,0.85289836,-13.0,8,New England Patriots,0.09836500883102417,3.9441025257110596
Carolina Panthers,2023,17,0.5179715,0.95409405,6.0,9,Jacksonville Jaguars,0.09008675813674927,3.294259190559387
Chicago Bears,2023,17,0.53246,0.4004065,-3.0,7,Atlanta Falcons,-0.08371758460998535,-0.9755900800228119
Cincinnati Bengals,2023,17,0.4877782,0.8062931,7.0,13,Kansas City Chiefs,0.06572824716567993,3.9278460144996643
Cleveland Browns,2023,17,0.4882241,1.487917,-6.5,0,New York Jets,-0.16904258728027344,-0.29086077213287354
Dallas Cowboys,2023,17,0.42717236,-0.014734134,-5.5,1,Detroit Lions,-0.010226666927337646,-0.4339045137166977
Denver Broncos,2023,17,0.59081507,0.9401249,-3.5,14,Los Angeles Chargers,0.2511603832244873,2.689317524433136
Detroit Lions,2023,17,0.43739903,0.41917038,5.5,1,Dallas Cowboys,0.010226666927337646,0.4339045137166977
Green Bay Packers,2023,17,0.45681167,-2.3670323,1.5,15,Minnesota Vikings,-0.03922998905181885,-1.0630780458450317
Houston Texans,2023,17,0.60537696,1.1701314,-4.0,10,Tennessee Titans,0.011945366859436035,0.005122661590576172
Indianapolis Colts,2023,17,0.51539993,-0.8771972,-3.5,4,Las Vegas Raiders,0.04900813102722168,-1.8597730994224548
Jacksonville Jaguars,2023,17,0.42788476,-2.3401651,-6.0,9,Carolina Panthers,-0.09008675813674927,-3.294259190559387
Kansas City Chiefs,2023,17,0.42204994,-3.121553,-7.0,13,Cincinnati Bengals,-0.06572824716567993,-3.9278460144996643
Las Vegas Raiders,2023,17,0.4663918,0.9825759,3.5,4,Indianapolis Colts,-0.04900813102722168,1.8597730994224548
Los Angeles Chargers,2023,17,0.33965468,-1.7491926,3.5,14,Denver Broncos,-0.2511603832244873,-2.689317524433136
Los Angeles Rams,2023,17,0.5035647,1.5354798,-5.5,5,New York Giants,-0.014686346054077148,0.2922649383544922
Miami Dolphins,2023,17,0.45944214,-1.7556964,3.0,3,Baltimore Ravens,-0.00028389692306518555,0.3426269292831421
Minnesota Vikings,2023,17,0.49604166,-1.3039542,-1.5,15,Green Bay Packers,0.03922998905181885,1.0630780458450317
New England Patriots,2023,17,0.37853414,-3.0912042,13.0,8,Buffalo Bills,-0.09836500883102417,-3.9441025257110596
New Orleans Saints,2023,17,0.4178341,-2.4462028,2.5,11,Tampa Bay Buccaneers,-0.16930562257766724,-3.9039589166641235
New York Giants,2023,17,0.51825106,1.2432148,5.5,5,Los Angeles Rams,0.014686346054077148,-0.2922649383544922
New York Jets,2023,17,0.6572667,1.7787777,6.5,0,Cleveland Browns,0.16904258728027344,0.29086077213287354
Philadelphia Eagles,2023,17,0.34245253,-2.6540196,-10.5,2,Arizona Cardinals,-0.12442934513092041,-3.3013445138931274
Pittsburgh Steelers,2023,17,0.27948272,-3.3411791,3.5,12,Seattle Seahawks,-0.23575639724731445,-3.5346117168664932
San Francisco 49ers,2023,17,0.63730997,-0.7215765,-12.5,6,Washington Commanders,0.2185441255569458,-2.1966481804847717
Seattle Seahawks,2023,17,0.5152391,0.19343258,-3.5,12,Pittsburgh Steelers,0.23575639724731445,3.5346117168664932
Tampa Bay Buccaneers,2023,17,0.5871397,1.4577562,-2.5,11,New Orleans Saints,0.16930562257766724,3.9039589166641235
Tennessee Titans,2023,17,0.5934316,1.1650088,4.0,10,Houston Texans,-0.011945366859436035,-0.005122661590576172
Washington Commanders,2023,17,0.41876584,1.4750717,12.5,6,San Francisco 49ers,-0.2185441255569458,2.1966481804847717
