Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2025,13,0.5619825,0.14970875,3.0,4,Tampa Bay Buccaneers,0.048968017,1.9537954
Atlanta Falcons,2025,13,0.5441184,0.15917806,-2.5,5,New York Jets,0.0110394955,0.60596174
Baltimore Ravens,2025,13,0.47411245,-2.7540946,-7.0,2,Cincinnati Bengals,-0.07738197,-3.5306408
Buffalo Bills,2025,13,0.5456281,0.048014045,-3.5,12,Pittsburgh Steelers,0.032613575,2.9036975
Carolina Panthers,2025,13,0.55286485,-0.43521568,10.0,6,Los Angeles Rams,0.037546158,0.037867934
Chicago Bears,2025,13,0.55866545,0.20966704,7.0,3,Philadelphia Eagles,0.04565096,1.0024419
Cincinnati Bengals,2025,13,0.5514944,0.77654624,7.0,2,Baltimore Ravens,0.07738197,3.5306408
Cleveland Browns,2025,13,0.5514944,1.1090297,5.5,7,San Francisco 49ers,0.038479924,1.627259
Dallas Cowboys,2025,13,0.5180857,-1.0433028,3.5,1,Kansas City Chiefs,0.0027670264,-0.5555987
Denver Broncos,2025,13,0.5180857,-0.31331158,-6.5,14,Washington Commanders,0.005071223,-0.3268082
Detroit Lions,2025,13,0.51956755,0.18623649,-2.5,0,Green Bay Packers,0.012030959,0.39353377
Green Bay Packers,2025,13,0.5075366,-0.20729727,2.5,0,Detroit Lions,-0.012030959,-0.39353377
Houston Texans,2025,13,0.541376,-0.09562808,4.5,8,Indianapolis Colts,0.026057303,-0.11977281
Indianapolis Colts,2025,13,0.5153187,0.024144724,-4.5,8,Houston Texans,-0.026057303,0.11977281
Jacksonville Jaguars,2025,13,0.4704345,-3.0475078,-6.5,9,Tennessee Titans,-0.068647206,-4.0161924
Kansas City Chiefs,2025,13,0.5153187,-0.4877041,-3.5,1,Dallas Cowboys,-0.0027670264,0.5555987
Las Vegas Raiders,2025,13,0.5153187,0.5347296,10.0,13,Los Angeles Chargers,-0.025492609,0.9915999
Los Angeles Chargers,2025,13,0.5408113,-0.45687032,-10.0,13,Las Vegas Raiders,0.025492609,-0.9915999
Los Angeles Rams,2025,13,0.5153187,-0.47308362,-10.0,6,Carolina Panthers,-0.037546158,-0.037867934
Miami Dolphins,2025,13,0.5050194,-1.7585895,-6.0,10,New Orleans Saints,0.03776288,1.2251503
Minnesota Vikings,2025,13,0.48055416,-0.4354933,10.5,11,Seattle Seahawks,-0.032460332,0.11279082
New England Patriots,2025,13,0.4969023,-3.124085,-7.0,15,New York Giants,-0.016112208,-2.2084076
New Orleans Saints,2025,13,0.46725655,-2.9837399,6.0,10,Miami Dolphins,-0.03776288,-1.2251503
New York Giants,2025,13,0.5130145,-0.91567737,7.0,15,New England Patriots,0.016112208,2.2084076
New York Jets,2025,13,0.5330789,-0.44678366,2.5,5,Atlanta Falcons,-0.0110394955,-0.60596174
Philadelphia Eagles,2025,13,0.5130145,-0.79277486,-7.0,3,Chicago Bears,-0.04565096,-1.0024419
Pittsburgh Steelers,2025,13,0.5130145,-2.8556833,3.5,12,Buffalo Bills,-0.032613575,-2.9036975
San Francisco 49ers,2025,13,0.5130145,-0.5182293,-5.5,7,Cleveland Browns,-0.038479924,-1.627259
Seattle Seahawks,2025,13,0.5130145,-0.5482841,-10.5,11,Minnesota Vikings,0.032460332,-0.11279082
Tampa Bay Buccaneers,2025,13,0.5130145,-1.8040867,-3.0,4,Arizona Cardinals,-0.048968017,-1.9537954
Tennessee Titans,2025,13,0.5390817,0.9686845,6.5,9,Jacksonville Jaguars,0.068647206,4.0161924
Washington Commanders,2025,13,0.5130145,0.013496637,6.5,14,Denver Broncos,-0.005071223,0.3268082
