Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2025,8,0.30246693,1.3428323,,,,,
Atlanta Falcons,2025,8,0.19068587,0.479866,-7.0,1.0,Miami Dolphins,-0.0005456805229187012,5.068186283111572
Baltimore Ravens,2025,8,0.24137902,-5.0727158,-6.5,2.0,Chicago Bears,-0.1570703387260437,-5.362873077392578
Buffalo Bills,2025,8,0.24137902,-1.7374943,-7.0,3.0,Carolina Panthers,-0.01716405153274536,2.448093891143799
Carolina Panthers,2025,8,0.25854307,-4.1855884,7.0,3.0,Buffalo Bills,0.01716405153274536,-2.448093891143799
Chicago Bears,2025,8,0.39844936,0.29015732,6.5,2.0,Baltimore Ravens,0.1570703387260437,5.362873077392578
Cincinnati Bengals,2025,8,0.39844936,-2.0358481,-6.5,4.0,New York Jets,0.20939123630523682,1.0280063152313232
Cleveland Browns,2025,8,0.38293922,0.53398436,7.0,5.0,New England Patriots,0.022597193717956543,6.563213348388672
Dallas Cowboys,2025,8,0.4096821,-6.234283,3.5,9.0,Denver Broncos,0.1916791796684265,-4.983329772949219
Denver Broncos,2025,8,0.21800292,-1.2509533,-3.5,9.0,Dallas Cowboys,-0.1916791796684265,4.983329772949219
Detroit Lions,2025,8,0.39302582,1.9675093,,,,,
Green Bay Packers,2025,8,0.20745927,-6.72212,-3.0,11.0,Pittsburgh Steelers,0.015394032001495361,1.2751259803771973
Houston Texans,2025,8,0.19705003,0.0016511707,-1.5,6.0,San Francisco 49ers,-0.1650126576423645,-0.4887091815471649
Indianapolis Colts,2025,8,0.41956604,-0.08617886,-14.0,10.0,Tennessee Titans,0.17053329944610596,0.930507242679596
Jacksonville Jaguars,2025,8,0.22598606,-0.22373845,,,,,
Kansas City Chiefs,2025,8,0.41501838,-6.6282945,-10.5,12.0,Washington Commanders,0.16495537757873535,-7.969884872436523
Las Vegas Raiders,2025,8,0.17927009,-1.7685663,,,,,
Los Angeles Chargers,2025,8,0.1980871,-2.0286973,-3.0,0.0,Minnesota Vikings,-0.0031427741050720215,-1.3341150283813477
Los Angeles Rams,2025,8,0.38073617,-3.2910454,,,,,
Miami Dolphins,2025,8,0.19123155,-4.5883203,7.0,1.0,Atlanta Falcons,0.0005456805229187012,-5.068186283111572
Minnesota Vikings,2025,8,0.20122987,-0.69458216,3.0,0.0,Los Angeles Chargers,0.0031427741050720215,1.3341150283813477
New England Patriots,2025,8,0.36034203,-6.029229,-7.0,5.0,Cleveland Browns,-0.022597193717956543,-6.563213348388672
New Orleans Saints,2025,8,0.19206524,-7.997246,4.5,8.0,Tampa Bay Buccaneers,-0.052120208740234375,-8.064765930175781
New York Giants,2025,8,0.22703606,-5.097615,7.0,7.0,Philadelphia Eagles,-0.005467832088470459,-1.9012501239776611
New York Jets,2025,8,0.18905813,-3.0638545,6.5,4.0,Cincinnati Bengals,-0.20939123630523682,-1.0280063152313232
Philadelphia Eagles,2025,8,0.23250389,-3.1963646,-7.0,7.0,New York Giants,0.005467832088470459,1.9012501239776611
Pittsburgh Steelers,2025,8,0.19206524,-7.997246,3.0,11.0,Green Bay Packers,-0.015394032001495361,-1.2751259803771973
San Francisco 49ers,2025,8,0.3620627,0.49036035,1.5,6.0,Houston Texans,0.1650126576423645,0.4887091815471649
Seattle Seahawks,2025,8,0.24738848,-1.7164099,,,,,
Tampa Bay Buccaneers,2025,8,0.24418545,0.0675204,-4.5,8.0,New Orleans Saints,0.052120208740234375,8.064765930175781
Tennessee Titans,2025,8,0.24903274,-1.0166861,14.0,10.0,Indianapolis Colts,-0.17053329944610596,-0.930507242679596
Washington Commanders,2025,8,0.250063,1.3415905,10.5,12.0,Kansas City Chiefs,-0.16495537757873535,7.969884872436523
