Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,9,0.237187,-0.49305063,7.5,2.0,Cleveland Browns,-0.16854310035705566,-0.3530053645372391
Atlanta Falcons,2023,9,0.5541247,-0.46077842,-4.5,3.0,Minnesota Vikings,0.3546270430088043,0.047575533390045166
Baltimore Ravens,2023,9,0.67196834,0.02511061,-5.5,4.0,Seattle Seahawks,0.44028809666633606,0.5887064412236214
Buffalo Bills,2023,9,0.43094268,-0.7057723,1.5,12.0,Cincinnati Bengals,0.028640300035476685,0.20799636840820312
Carolina Panthers,2023,9,0.61880213,-0.4142872,2.5,9.0,Indianapolis Colts,0.3956063985824585,0.04649120569229126
Chicago Bears,2023,9,0.109441265,-0.0036109993,8.5,5.0,New Orleans Saints,-0.5881475955247879,-2.6795188495889306
Cincinnati Bengals,2023,9,0.40230238,-0.91376865,-1.5,12.0,Buffalo Bills,-0.028640300035476685,-0.20799636840820312
Cleveland Browns,2023,9,0.4057301,-0.14004527,-7.5,2.0,Arizona Cardinals,0.16854310035705566,0.3530053645372391
Dallas Cowboys,2023,9,0.8191037,1.4457611,3.0,10.0,Philadelphia Eagles,0.2590673565864563,1.5116674304008484
Denver Broncos,2023,9,0.12834781,-1.1587625,,,,,
Detroit Lions,2023,9,0.59926444,0.5407638,,,,,
Green Bay Packers,2023,9,0.39851078,0.2237285,-3.0,6.0,Los Angeles Rams,-0.039506614208221436,-0.8365811556577682
Houston Texans,2023,9,0.48808905,-0.46077842,-3.0,7.0,Tampa Bay Buccaneers,0.14567860960960388,0.1503930687904358
Indianapolis Colts,2023,9,0.22319573,-0.46077842,-2.5,9.0,Carolina Panthers,-0.3956063985824585,-0.04649120569229126
Jacksonville Jaguars,2023,9,0.5163704,-0.24805684,,,,,
Kansas City Chiefs,2023,9,0.47675064,0.6374109,-1.5,1.0,Miami Dolphins,0.1200374960899353,-1.7036995887756348
Las Vegas Raiders,2023,9,0.4235436,-0.46077842,-1.5,11.0,New York Giants,-0.16835060715675354,-3.2880579829216003
Los Angeles Chargers,2023,9,0.31856003,-0.3508743,-3.5,13.0,New York Jets,-0.24123111367225647,-0.391303937882185
Los Angeles Rams,2023,9,0.4380174,1.0603096,3.0,6.0,Green Bay Packers,0.039506614208221436,0.8365811556577682
Miami Dolphins,2023,9,0.35671315,2.3411105,1.5,1.0,Kansas City Chiefs,-0.1200374960899353,1.7036995887756348
Minnesota Vikings,2023,9,0.19949767,-0.50835395,4.5,3.0,Atlanta Falcons,-0.3546270430088043,-0.047575533390045166
New England Patriots,2023,9,0.4059299,2.8272796,-3.5,8.0,Washington Commanders,-0.19729992747306824,3.53305184841156
New Orleans Saints,2023,9,0.69758886,2.6759079,-8.5,5.0,Chicago Bears,0.5881475955247879,2.6795188495889306
New York Giants,2023,9,0.5918942,2.8272796,1.5,11.0,Las Vegas Raiders,0.16835060715675354,3.2880579829216003
New York Jets,2023,9,0.55979115,0.040429633,3.5,13.0,Los Angeles Chargers,0.24123111367225647,0.391303937882185
Philadelphia Eagles,2023,9,0.56003636,-0.065906346,-3.0,10.0,Dallas Cowboys,-0.2590673565864563,-1.5116674304008484
Pittsburgh Steelers,2023,9,0.8037432,2.4089963,-2.5,0.0,Tennessee Titans,0.28888893127441406,3.0897356271743774
San Francisco 49ers,2023,9,0.4447386,-0.46077842,,,,,
Seattle Seahawks,2023,9,0.23168024,-0.56359583,5.5,4.0,Baltimore Ravens,-0.44028809666633606,-0.5887064412236214
Tampa Bay Buccaneers,2023,9,0.34241045,-0.6111715,3.0,7.0,Houston Texans,-0.14567860960960388,-0.1503930687904358
Tennessee Titans,2023,9,0.51485425,-0.6807393,2.5,0.0,Pittsburgh Steelers,-0.28888893127441406,-3.0897356271743774
Washington Commanders,2023,9,0.6032298,-0.7057723,3.5,8.0,New England Patriots,0.19729992747306824,-3.53305184841156
