Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2025,10,0.47037852,-4.496321,6.5,9.0,Seattle Seahawks,0.019115149974822998,-1.1573402881622314
Atlanta Falcons,2025,10,0.3916011,-6.6227794,6.5,1.0,Indianapolis Colts,-0.06536847352981567,-6.37023401260376
Baltimore Ravens,2025,10,0.42975223,-6.606693,-3.5,2.0,Minnesota Vikings,0.0013808012008666992,-5.563309669494629
Buffalo Bills,2025,10,0.44625062,-2.7040532,-9.5,3.0,Miami Dolphins,0.013140559196472168,2.116586446762085
Carolina Panthers,2025,10,0.40222996,-3.3795578,-5.5,4.0,New Orleans Saints,0.03133559226989746,5.213274002075195
Chicago Bears,2025,10,0.4416873,-4.091186,-4.5,5.0,New York Giants,0.015969157218933105,-0.4849066734313965
Cincinnati Bengals,2025,10,0.43255156,-3.872517,,,,,
Cleveland Browns,2025,10,0.4619782,-3.6537442,-2.5,6.0,New York Jets,0.035961687564849854,-0.0755305290222168
Dallas Cowboys,2025,10,0.42666775,-9.478589,,,,,
Denver Broncos,2025,10,0.42869735,-2.218951,-9.5,0.0,Las Vegas Raiders,0.002787292003631592,-0.7194305658340454
Detroit Lions,2025,10,0.42923945,-1.3169619,-7.5,10.0,Washington Commanders,-0.035660386085510254,0.3768225908279419
Green Bay Packers,2025,10,0.41388452,-7.471746,-2.5,13.0,Philadelphia Eagles,0.03214675188064575,0.6176009178161621
Houston Texans,2025,10,0.42993104,-2.107643,1.5,7.0,Jacksonville Jaguars,-0.007707476615905762,4.658930778503418
Indianapolis Colts,2025,10,0.45696956,-0.25254524,-6.5,1.0,Atlanta Falcons,0.06536847352981567,6.37023401260376
Jacksonville Jaguars,2025,10,0.43763852,-6.766574,-1.5,7.0,Houston Texans,0.007707476615905762,-4.658930778503418
Kansas City Chiefs,2025,10,0.41347414,-4.737776,,,,,
Las Vegas Raiders,2025,10,0.42591006,-1.4995204,9.5,0.0,Denver Broncos,-0.002787292003631592,0.7194305658340454
Los Angeles Chargers,2025,10,0.42792678,-4.931752,-3.0,12.0,Pittsburgh Steelers,0.054520249366760254,2.4760022163391113
Los Angeles Rams,2025,10,0.42483222,-3.8833656,-4.5,11.0,San Francisco 49ers,-0.006235837936401367,-0.2547261714935303
Miami Dolphins,2025,10,0.43311006,-4.8206396,9.5,3.0,Buffalo Bills,-0.013140559196472168,-2.116586446762085
Minnesota Vikings,2025,10,0.42837143,-1.0433834,3.5,2.0,Baltimore Ravens,-0.0013808012008666992,5.563309669494629
New England Patriots,2025,10,0.4092968,-7.535021,2.5,8.0,Tampa Bay Buccaneers,-0.06354117393493652,-2.6550731658935547
New Orleans Saints,2025,10,0.37089437,-8.592832,5.5,4.0,Carolina Panthers,-0.03133559226989746,-5.213274002075195
New York Giants,2025,10,0.42571813,-3.6062794,4.5,5.0,Chicago Bears,-0.015969157218933105,0.4849066734313965
New York Jets,2025,10,0.4260165,-3.5782137,2.5,6.0,Cleveland Browns,-0.035961687564849854,0.0755305290222168
Philadelphia Eagles,2025,10,0.38173777,-8.089347,2.5,13.0,Green Bay Packers,-0.03214675188064575,-0.6176009178161621
Pittsburgh Steelers,2025,10,0.37340653,-7.4077544,3.0,12.0,Los Angeles Chargers,-0.054520249366760254,-2.4760022163391113
San Francisco 49ers,2025,10,0.43106806,-3.6286395,4.5,11.0,Los Angeles Rams,0.006235837936401367,0.2547261714935303
Seattle Seahawks,2025,10,0.45126337,-3.338981,-6.5,9.0,Arizona Cardinals,-0.019115149974822998,1.1573402881622314
Tampa Bay Buccaneers,2025,10,0.47283798,-4.8799477,-2.5,8.0,New England Patriots,0.06354117393493652,2.6550731658935547
Tennessee Titans,2025,10,0.41317552,-2.0195158,,,,,
Washington Commanders,2025,10,0.46489984,-1.6937845,7.5,10.0,Detroit Lions,0.035660386085510254,-0.3768225908279419
