Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2025,14,0.3453552,3.579614,7.5,10.0,Los Angeles Rams,-0.41550642251968384,2.3322482109069824
Atlanta Falcons,2025,14,0.6866629,1.0687354,7.0,1.0,Seattle Seahawks,0.32452863454818726,-0.7279881238937378
Baltimore Ravens,2025,14,0.2107982,-1.3921894,-6.0,2.0,Pittsburgh Steelers,-0.0980910062789917,0.7710553407669067
Buffalo Bills,2025,14,0.52260125,4.0702653,-5.5,3.0,Cincinnati Bengals,0.17919039726257324,1.0043630599975586
Carolina Panthers,2025,14,0.22593188,0.8675071,,,,,
Chicago Bears,2025,14,0.4888714,0.74287,6.5,11.0,Green Bay Packers,0.04318755865097046,0.03402066230773926
Cincinnati Bengals,2025,14,0.34341085,3.0659022,5.5,3.0,Buffalo Bills,-0.17919039726257324,-1.0043630599975586
Cleveland Browns,2025,14,0.69279754,3.5303185,-4.5,4.0,Tennessee Titans,0.01836228370666504,4.754189491271973
Dallas Cowboys,2025,14,0.36748415,-0.70384586,3.0,0.0,Detroit Lions,-0.15270966291427612,0.9373760223388672
Denver Broncos,2025,14,0.18191767,2.0352392,-7.5,9.0,Las Vegas Raiders,-0.15526878833770752,-1.5885193347930908
Detroit Lions,2025,14,0.5201938,-1.6412219,-3.0,0.0,Dallas Cowboys,0.15270966291427612,-0.9373760223388672
Green Bay Packers,2025,14,0.44568384,0.7088493,-6.5,11.0,Chicago Bears,-0.04318755865097046,-0.03402066230773926
Houston Texans,2025,14,0.41807473,-0.17424907,3.5,12.0,Kansas City Chiefs,-0.25618410110473633,-0.3739498257637024
Indianapolis Colts,2025,14,0.6603807,0.6703973,-1.5,5.0,Jacksonville Jaguars,0.07548308372497559,1.7365798950195312
Jacksonville Jaguars,2025,14,0.58489764,-1.0661826,1.5,5.0,Indianapolis Colts,-0.07548308372497559,-1.7365798950195312
Kansas City Chiefs,2025,14,0.6742588,0.19970077,-3.5,12.0,Houston Texans,0.25618410110473633,0.3739498257637024
Las Vegas Raiders,2025,14,0.33718646,3.6237586,7.5,9.0,Denver Broncos,0.15526878833770752,1.5885193347930908
Los Angeles Chargers,2025,14,0.26202512,-0.68909764,3.0,13.0,Philadelphia Eagles,-0.23853528499603271,-1.9170173406600952
Los Angeles Rams,2025,14,0.76086164,1.2473656,-7.5,10.0,Arizona Cardinals,0.41550642251968384,-2.3322482109069824
Miami Dolphins,2025,14,0.07601619,0.97326803,-2.5,6.0,New York Jets,-0.1711798906326294,0.9157844185829163
Minnesota Vikings,2025,14,0.47292757,-0.23787224,-2.5,7.0,Washington Commanders,-0.03828471899032593,-0.4999387562274933
New England Patriots,2025,14,0.55943334,0.36801708,,,,,
New Orleans Saints,2025,14,0.17614043,-1.5066518,8.5,8.0,Tampa Bay Buccaneers,-0.41840946674346924,-1.0792840719223022
New York Giants,2025,14,0.41739547,-1.2498504,,,,,
New York Jets,2025,14,0.24719608,0.05748363,2.5,6.0,Miami Dolphins,0.1711798906326294,-0.9157844185829163
Philadelphia Eagles,2025,14,0.5005604,1.2279197,-3.0,13.0,Los Angeles Chargers,0.23853528499603271,1.9170173406600952
Pittsburgh Steelers,2025,14,0.3088892,-2.1632447,6.0,2.0,Baltimore Ravens,0.0980910062789917,-0.7710553407669067
San Francisco 49ers,2025,14,0.24640113,-1.4507121,,,,,
Seattle Seahawks,2025,14,0.36213428,1.7967235,-7.0,1.0,Atlanta Falcons,-0.32452863454818726,0.7279881238937378
Tampa Bay Buccaneers,2025,14,0.5945499,-0.4273677,-8.5,8.0,New Orleans Saints,0.41840946674346924,1.0792840719223022
Tennessee Titans,2025,14,0.67443526,-1.2238711,4.5,4.0,Cleveland Browns,-0.01836228370666504,-4.754189491271973
Washington Commanders,2025,14,0.5112123,0.2620665,2.5,7.0,Minnesota Vikings,0.03828471899032593,0.4999387562274933
