Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,12,0.72844064,1.9071903,1.0,9.0,Seattle Seahawks,0.23562514781951904,2.432979702949524
Atlanta Falcons,2024,12,0.23550731,0.86220944,,,,,
Baltimore Ravens,2024,12,0.39149857,-4.0766125,-2.5,12.0,Los Angeles Chargers,0.047221481800079346,-5.330124258995056
Buffalo Bills,2024,12,0.9346535,2.9462776,,,,,
Carolina Panthers,2024,12,0.77868736,3.6040845,10.5,1.0,Kansas City Chiefs,0.7211076021194458,5.906123161315918
Chicago Bears,2024,12,0.22026366,-0.71418077,3.5,2.0,Minnesota Vikings,-0.16699832677841187,-1.7335677742958069
Cincinnati Bengals,2024,12,0.6151936,-3.2251265,,,,,
Cleveland Browns,2024,12,0.2866366,-0.7071759,3.5,0.0,Pittsburgh Steelers,-0.22467297315597534,1.8904607892036438
Dallas Cowboys,2024,12,0.19255632,-0.016749732,10.5,3.0,Washington Commanders,-0.49952298402786255,-0.8810418769717216
Denver Broncos,2024,12,0.79183775,0.27106896,-6.0,8.0,Las Vegas Raiders,0.5279330015182495,-0.10679706931114197
Detroit Lions,2024,12,0.68745613,2.1824057,-7.5,4.0,Indianapolis Colts,0.2947627305984497,1.7894153594970703
Green Bay Packers,2024,12,0.18189275,-3.294938,-3.0,10.0,San Francisco 49ers,-0.2883368134498596,-2.6591370701789856
Houston Texans,2024,12,0.67519635,-1.4800858,-8.0,5.0,Tennessee Titans,-0.26730918884277344,-6.5834879875183105
Indianapolis Colts,2024,12,0.3926934,0.39299035,7.5,4.0,Detroit Lions,-0.2947627305984497,-1.7894153594970703
Jacksonville Jaguars,2024,12,0.42285323,0.9568487,,,,,
Kansas City Chiefs,2024,12,0.057579756,-2.3020387,-10.5,1.0,Carolina Panthers,-0.7211076021194458,-5.906123161315918
Las Vegas Raiders,2024,12,0.26390475,0.37786603,6.0,8.0,Denver Broncos,-0.5279330015182495,0.10679706931114197
Los Angeles Chargers,2024,12,0.34427708,1.2535118,2.5,12.0,Baltimore Ravens,-0.047221481800079346,5.330124258995056
Los Angeles Rams,2024,12,0.51783895,1.316338,2.5,11.0,Philadelphia Eagles,-0.12628406286239624,-1.5405627489089966
Miami Dolphins,2024,12,0.32697862,-1.7071412,-7.5,6.0,New England Patriots,-0.018848061561584473,-0.5299702882766724
Minnesota Vikings,2024,12,0.387262,1.019387,-3.5,2.0,Chicago Bears,0.16699832677841187,1.7335677742958069
New England Patriots,2024,12,0.3458267,-1.1771709,7.5,6.0,Miami Dolphins,0.018848061561584473,0.5299702882766724
New Orleans Saints,2024,12,0.3115908,0.76298946,,,,,
New York Giants,2024,12,0.16424137,-0.5796994,6.0,7.0,Tampa Bay Buccaneers,-0.07125890254974365,-0.0013043880462646484
New York Jets,2024,12,0.47039455,3.1218853,,,,,
Philadelphia Eagles,2024,12,0.644123,2.8569007,-2.5,11.0,Los Angeles Rams,0.12628406286239624,1.5405627489089966
Pittsburgh Steelers,2024,12,0.51130956,-2.5976367,-3.5,0.0,Cleveland Browns,0.22467297315597534,-1.8904607892036438
San Francisco 49ers,2024,12,0.47022957,-0.635801,3.0,10.0,Green Bay Packers,0.2883368134498596,2.6591370701789856
Seattle Seahawks,2024,12,0.4928155,-0.5257894,-1.0,9.0,Arizona Cardinals,-0.23562514781951904,-2.432979702949524
Tampa Bay Buccaneers,2024,12,0.23550028,-0.578395,-6.0,7.0,New York Giants,0.07125890254974365,0.0013043880462646484
Tennessee Titans,2024,12,0.94250554,5.103402,8.0,5.0,Houston Texans,0.26730918884277344,6.5834879875183105
Washington Commanders,2024,12,0.6920793,0.86429214,-10.5,3.0,Dallas Cowboys,0.49952298402786255,0.8810418769717216
