Team,Week,opponent,spread,score,diff,Year,spreadscore,coverprob,predspread,order,coverprob_diff,predspread_diff
New York Jets,3,New England Patriots,3.0,10.0,-5.0,2023,-2.0,0.6052206754684448,-0.5892514586448669,8.0,0.10392338037490845,2.2639294266700745
San Francisco 49ers,3,New York Giants,-10.0,30.0,18.0,2023,8.0,0.5533764362335205,-6.308135032653809,0.0,-0.008355140686035156,-12.357222080230713
Atlanta Falcons,1,Carolina Panthers,-3.5,24.0,14.0,2023,10.5,,,,,
New Orleans Saints,2,Carolina Panthers,-3.0,20.0,3.0,2023,0.0,0.40186584000000003,-4.929265,,-0.06643995999999996,
Tampa Bay Buccaneers,3,Philadelphia Eagles,5.0,11.0,-14.0,2023,-9.0,0.42554259300231934,-1.8037537336349487,14.0,-0.0972675085067749,-2.434630811214447
Baltimore Ravens,1,Houston Texans,-9.5,25.0,16.0,2023,6.5,,,,,
Miami Dolphins,2,New England Patriots,-1.5,24.0,7.0,2023,5.5,0.48904203999999996,-5.698251,,0.08717619999999993,
Washington Commanders,3,Buffalo Bills,6.5,3.0,-34.0,2023,-27.5,0.42554259300231934,-3.097259521484375,3.0,-0.017293810844421387,2.439154624938965
New York Giants,2,Arizona Cardinals,-4.5,31.0,3.0,2023,-1.5,0.48722200000000004,0.09895373,,0.013880100000000062,
Seattle Seahawks,1,Los Angeles Rams,-4.5,13.0,-17.0,2023,-21.5,,,,,
Houston Texans,3,Jacksonville Jaguars,9.5,37.0,20.0,2023,29.5,0.6161438822746277,-4.531844139099121,6.0,0.04758036136627197,-3.8069530725479126
Baltimore Ravens,3,Indianapolis Colts,-7.5,19.0,-3.0,2023,-10.5,0.41265952587127686,-0.64972984790802,2.0,-0.025605320930480957,-1.472813367843628
Atlanta Falcons,2,Green Bay Packers,-3.0,25.0,1.0,2023,-2.0,0.51620844,-4.5398464,,-0.025524199999999997,
Buffalo Bills,2,Las Vegas Raiders,-7.5,38.0,28.0,2023,20.5,0.50058067,2.5626204,,0.011538629999999994,
Las Vegas Raiders,2,Buffalo Bills,7.5,10.0,-28.0,2023,-20.5,0.48904203999999996,-2.2871656,,-0.011538629999999994,
Washington Commanders,2,Denver Broncos,3.5,35.0,2.0,2023,5.5,0.412288,-4.1413984,,0.05026140000000001,
Dallas Cowboys,1,New York Giants,-3.0,40.0,40.0,2023,37.0,,,,,
Green Bay Packers,1,Chicago Bears,1.5,38.0,18.0,2023,19.5,,,,,
