Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,15,0.6195641,1.3114245,12.5,11,San Francisco 49ers,-0.005171537399291992,0.13122117519378662
Atlanta Falcons,2023,15,0.56889546,1.6837219,-3.0,5,Carolina Panthers,0.12015998363494873,0.412835955619812
Baltimore Ravens,2023,15,0.45696425,-1.6705003,-3.5,14,Jacksonville Jaguars,0.0110015869140625,-0.13956868648529053
Buffalo Bills,2023,15,0.4755559,-0.40577358,-1.5,13,Dallas Cowboys,0.025927186012268066,-0.5674608796834946
Carolina Panthers,2023,15,0.44873548,1.270886,3.0,5,Atlanta Falcons,-0.12015998363494873,-0.412835955619812
Chicago Bears,2023,15,0.46900892,0.15006767,3.0,6,Cleveland Browns,-0.013563275337219238,-1.5336542278528214
Cincinnati Bengals,2023,15,0.5187957,0.52274495,-3.0,1,Minnesota Vikings,-0.06029093265533447,-0.132490873336792
Cleveland Browns,2023,15,0.4825722,1.6837219,-3.0,6,Chicago Bears,0.013563275337219238,1.5336542278528214
Dallas Cowboys,2023,15,0.4496287,0.1616873,1.5,13,Buffalo Bills,-0.025927186012268066,0.5674608796834946
Denver Broncos,2023,15,0.57371676,1.3114245,4.0,3,Detroit Lions,-0.009196162223815918,0.04053854942321777
Detroit Lions,2023,15,0.5829129,1.270886,-4.0,3,Denver Broncos,0.009196162223815918,-0.04053854942321777
Green Bay Packers,2023,15,0.5286176,-0.29154435,-3.5,4,Tampa Bay Buccaneers,0.02403891086578369,0.703821986913681
Houston Texans,2023,15,0.53721803,0.5300513,3.0,7,Tennessee Titans,0.03307497501373291,0.7827582359313965
Indianapolis Colts,2023,15,0.62763214,1.1289204,-1.5,2,Pittsburgh Steelers,0.16262978315353394,2.6763659715652466
Jacksonville Jaguars,2023,15,0.44596267,-1.5309316,3.5,14,Baltimore Ravens,-0.0110015869140625,0.13956868648529053
Kansas City Chiefs,2023,15,0.4628827,-1.6705003,-7.5,8,New England Patriots,-0.031085073947906494,-0.13956868648529053
Las Vegas Raiders,2023,15,0.53582525,1.6837219,-3.0,0,Los Angeles Chargers,-0.014703571796417236,2.22017639875412
Los Angeles Chargers,2023,15,0.5505288,-0.5364545,3.0,0,Las Vegas Raiders,0.014703571796417236,-2.22017639875412
Los Angeles Rams,2023,15,0.5516306,1.3114245,-6.5,12,Washington Commanders,-0.11925375461578369,-0.37229740619659424
Miami Dolphins,2023,15,0.47696388,-0.9385374,-8.5,9,New York Jets,0.0018749237060546875,-1.7094184160232544
Minnesota Vikings,2023,15,0.57908666,0.6552358,3.0,1,Cincinnati Bengals,0.06029093265533447,0.132490873336792
New England Patriots,2023,15,0.49396777,-1.5309316,7.5,8,Kansas City Chiefs,0.031085073947906494,0.13956868648529053
New Orleans Saints,2023,15,0.46076065,-1.5309316,-5.5,10,New York Giants,-0.08841067552566528,-2.8423560857772827
New York Giants,2023,15,0.5491713,1.3114245,5.5,10,New Orleans Saints,0.08841067552566528,2.8423560857772827
New York Jets,2023,15,0.47508895,0.770881,8.5,9,Miami Dolphins,-0.0018749237060546875,1.7094184160232544
Philadelphia Eagles,2023,15,0.42738116,-1.6705003,-3.5,15,Seattle Seahawks,-0.20942097902297974,-2.9819247722625732
Pittsburgh Steelers,2023,15,0.46500236,-1.5474455,1.5,2,Indianapolis Colts,-0.16262978315353394,-2.6763659715652466
San Francisco 49ers,2023,15,0.62473565,1.1802033,-12.5,11,Arizona Cardinals,0.005171537399291992,-0.13122117519378662
Seattle Seahawks,2023,15,0.63680214,1.3114245,3.5,15,Philadelphia Eagles,0.20942097902297974,2.9819247722625732
Tampa Bay Buccaneers,2023,15,0.5045787,-0.99536633,3.5,4,Green Bay Packers,-0.02403891086578369,-0.703821986913681
Tennessee Titans,2023,15,0.50414306,-0.25270694,-3.0,7,Houston Texans,-0.03307497501373291,-0.7827582359313965
Washington Commanders,2023,15,0.6708844,1.6837219,6.5,12,Los Angeles Rams,0.11925375461578369,0.37229740619659424
