Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,13,0.5600616,0.45892367,5.5,0.0,Pittsburgh Steelers,0.1455775499343872,3.1662844121456146
Atlanta Falcons,2023,13,0.5615142,0.156834,-1.5,1.0,New York Jets,0.005892455577850342,-0.15184015035629272
Baltimore Ravens,2023,13,0.48597705,-3.4435973,,,,,
Buffalo Bills,2023,13,0.51169884,0.17360188,,,,,
Carolina Panthers,2023,13,0.5660638,0.70457834,5.5,7.0,Tampa Bay Buccaneers,0.05513101816177368,0.6365346387028694
Chicago Bears,2023,13,0.5760327,-0.094775856,,,,,
Cincinnati Bengals,2023,13,0.5159529,-0.051094007,8.5,11.0,Jacksonville Jaguars,0.06222498416900635,2.650768805295229
Cleveland Browns,2023,13,0.58995223,1.7971426,3.5,8.0,Los Angeles Rams,0.02561211585998535,0.1269468069076538
Dallas Cowboys,2023,13,0.5218173,-0.055253975,,,,,
Denver Broncos,2023,13,0.59089434,2.044078,3.5,2.0,Houston Texans,0.0014482736587524414,1.9411074742674828
Detroit Lions,2023,13,0.5324954,0.5241822,-4.5,3.0,New Orleans Saints,0.1118389368057251,6.293250918388367
Green Bay Packers,2023,13,0.48094904,0.19343987,6.0,10.0,Kansas City Chiefs,-0.04635798931121826,0.15553537756204605
Houston Texans,2023,13,0.58944607,0.10297064,-3.5,2.0,Denver Broncos,-0.0014482736587524414,-1.9411074742674828
Indianapolis Colts,2023,13,0.36869216,-0.45192012,-1.5,4.0,Tennessee Titans,-0.19727087020874023,-1.1518032848834991
Jacksonville Jaguars,2023,13,0.4537279,-2.7018628,-8.5,11.0,Cincinnati Bengals,-0.06222498416900635,-2.650768805295229
Kansas City Chiefs,2023,13,0.52730703,0.037904494,-6.0,10.0,Green Bay Packers,0.04635798931121826,-0.15553537756204605
Las Vegas Raiders,2023,13,0.49957925,0.4857455,,,,,
Los Angeles Chargers,2023,13,0.5799511,0.19568637,-5.5,5.0,New England Patriots,0.20645099878311157,4.61651423573494
Los Angeles Rams,2023,13,0.5643401,1.6701958,-3.5,8.0,Cleveland Browns,-0.02561211585998535,-0.1269468069076538
Miami Dolphins,2023,13,0.44203895,-1.4492857,-9.5,6.0,Washington Commanders,-0.1257336139678955,-0.634785532951355
Minnesota Vikings,2023,13,0.5039152,0.23115353,,,,,
New England Patriots,2023,13,0.3735001,-4.420828,6.5,12.0,Pittsburgh Steelers,-0.04098391532897949,-1.7134671211242676
New Orleans Saints,2023,13,0.42065644,-5.7690687,4.5,3.0,Detroit Lions,-0.1118389368057251,-6.293250918388367
New York Giants,2023,13,0.46824408,-1.083533,,,,,
New York Jets,2023,13,0.55562174,0.30867416,1.5,1.0,Atlanta Falcons,-0.005892455577850342,0.15184015035629272
Philadelphia Eagles,2023,13,0.5063304,0.13510051,2.5,9.0,San Francisco 49ers,-0.06798434257507324,-1.753765195608139
Pittsburgh Steelers,2023,13,0.41448402,-2.7073607,-6.5,12.0,New England Patriots,0.04098391532897949,1.7134671211242676
San Francisco 49ers,2023,13,0.5743147,1.8888657,-2.5,9.0,Philadelphia Eagles,0.06798434257507324,1.753765195608139
Seattle Seahawks,2023,13,0.4948812,2.6878736,,,,,
Tampa Bay Buccaneers,2023,13,0.5109328,0.0680437,-5.5,7.0,Carolina Panthers,-0.05513101816177368,-0.6365346387028694
Tennessee Titans,2023,13,0.56596303,0.69988316,1.5,4.0,Indianapolis Colts,0.19727087020874023,1.1518032848834991
Washington Commanders,2023,13,0.56777257,-0.8145002,9.5,6.0,Miami Dolphins,0.1257336139678955,0.634785532951355
