Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2024,13,0.6438586,-0.13323435,3.5,1.0,Minnesota Vikings,0.2595633864402771,0.1088353842496872
Atlanta Falcons,2024,13,0.28541106,-1.4474729,1.0,2.0,Los Angeles Chargers,-0.5253214240074158,-1.74261075258255
Baltimore Ravens,2024,13,0.23815835,-7.12697,-3.0,10.0,Philadelphia Eagles,-0.3870660662651062,-7.688064336776733
Buffalo Bills,2024,13,0.35256118,-0.20895405,-7.0,11.0,San Francisco 49ers,-0.2710035443305969,-1.1983322650194168
Carolina Panthers,2024,13,0.33487862,-2.6575963,6.0,8.0,Tampa Bay Buccaneers,-0.2798829674720764,-0.2613968849182129
Chicago Bears,2024,13,0.3545047,0.61615694,,,,,
Cincinnati Bengals,2024,13,0.53364754,-0.71134764,-3.0,3.0,Pittsburgh Steelers,0.0623013973236084,2.3872808814048767
Cleveland Browns,2024,13,0.51469517,1.3635697,5.5,12.0,Denver Broncos,0.02955639362335205,-1.9748013019561768
Dallas Cowboys,2024,13,0.6174163,0.17524722,,,,,
Denver Broncos,2024,13,0.48513877,3.338371,-5.5,12.0,Cleveland Browns,-0.02955639362335205,1.9748013019561768
Detroit Lions,2024,13,0.70277107,2.9023392,,,,,
Green Bay Packers,2024,13,0.6422633,-0.42124498,,,,,
Houston Texans,2024,13,0.6485112,1.801628,-3.5,4.0,Jacksonville Jaguars,0.1815904974937439,4.268799662590027
Indianapolis Colts,2024,13,0.46901578,0.91999847,-2.5,5.0,New England Patriots,-0.003368854522705078,6.2356231808662415
Jacksonville Jaguars,2024,13,0.46692067,-2.4671717,3.5,4.0,Houston Texans,-0.1815904974937439,-4.268799662590027
Kansas City Chiefs,2024,13,0.44944507,-1.9447966,-12.5,0.0,Las Vegas Raiders,-0.24454110860824585,-3.161165952682495
Las Vegas Raiders,2024,13,0.6939862,1.2163694,12.5,0.0,Kansas City Chiefs,0.24454110860824585,3.161165952682495
Los Angeles Chargers,2024,13,0.8107325,0.29513782,-1.0,2.0,Atlanta Falcons,0.5253214240074158,1.74261075258255
Los Angeles Rams,2024,13,0.6460879,1.1085143,-3.0,9.0,New Orleans Saints,0.2623060941696167,5.269931793212891
Miami Dolphins,2024,13,0.5587537,-1.3446679,,,,,
Minnesota Vikings,2024,13,0.38429523,-0.24206974,-3.5,1.0,Arizona Cardinals,-0.2595633864402771,-0.1088353842496872
New England Patriots,2024,13,0.47238463,-5.3156247,2.5,5.0,Indianapolis Colts,0.003368854522705078,-6.2356231808662415
New Orleans Saints,2024,13,0.3837818,-4.1614175,3.0,9.0,Los Angeles Rams,-0.2623060941696167,-5.269931793212891
New York Giants,2024,13,0.42803603,2.1847115,,,,,
New York Jets,2024,13,0.58359206,-0.9107758,1.0,6.0,Seattle Seahawks,-0.05184239149093628,0.7640539407730103
Philadelphia Eagles,2024,13,0.6252244,0.5610945,3.0,10.0,Baltimore Ravens,0.3870660662651062,7.688064336776733
Pittsburgh Steelers,2024,13,0.47134614,-3.0986285,3.0,3.0,Cincinnati Bengals,-0.0623013973236084,-2.3872808814048767
San Francisco 49ers,2024,13,0.6235647,0.9893782,7.0,11.0,Buffalo Bills,0.2710035443305969,1.1983322650194168
Seattle Seahawks,2024,13,0.63543445,-1.6748297,-1.0,6.0,New York Jets,0.05184239149093628,-0.7640539407730103
Tampa Bay Buccaneers,2024,13,0.6147616,-2.3961995,-6.0,8.0,Carolina Panthers,0.2798829674720764,0.2613968849182129
Tennessee Titans,2024,13,0.53289044,-1.2332004,6.0,7.0,Washington Commanders,0.1547732949256897,0.7013756036758423
Washington Commanders,2024,13,0.37811714,-1.934576,-6.0,7.0,Tennessee Titans,-0.1547732949256897,-0.7013756036758423
