Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,12,0.50839365,0.7693264,-1.5,10,Los Angeles Rams,0.11532258987426758,0.588504433631897
Atlanta Falcons,2023,12,0.46386248,0.13607454,-1.5,4,New Orleans Saints,-0.0010960102081298828,1.158475399017334
Baltimore Ravens,2023,12,0.49338305,-1.1332918,-3.5,14,Los Angeles Chargers,0.04085266590118408,-0.1165395975112915
Buffalo Bills,2023,12,0.4921195,-0.5844815,3.5,12,Philadelphia Eagles,0.01781696081161499,0.35419762134552
Carolina Panthers,2023,12,0.4936142,-0.00920449,4.0,5,Tennessee Titans,-0.01768970489501953,-0.532190902158618
Chicago Bears,2023,12,0.50921106,-0.07194305,3.5,15,Minnesota Vikings,0.015863001346588135,0.18331002444028854
Cincinnati Bengals,2023,12,0.48589778,0.124481805,1.5,6,Pittsburgh Steelers,-0.01696181297302246,1.3154726102948189
Cleveland Browns,2023,12,0.54056036,1.7571588,2.5,11,Denver Broncos,0.06389117240905762,0.3431178331375122
Dallas Cowboys,2023,12,0.4994703,0.05988993,-10.5,1,Washington Commanders,0.05280107259750366,0.08272324502468109
Denver Broncos,2023,12,0.4766692,1.4140409,-2.5,11,Cleveland Browns,-0.06389117240905762,-0.3431178331375122
Detroit Lions,2023,12,0.45909822,0.70181817,-7.5,0,Green Bay Packers,0.004727840423583984,0.8550288379192352
Green Bay Packers,2023,12,0.45437038,-0.15321067,7.5,0,Detroit Lions,-0.004727840423583984,-0.8550288379192352
Houston Texans,2023,12,0.50753844,0.18080793,1.5,7,Jacksonville Jaguars,0.015358269214630127,2.4011422246694565
Indianapolis Colts,2023,12,0.43651825,-0.61530834,-2.5,8,Tampa Bay Buccaneers,-0.04829967021942139,0.4469061493873596
Jacksonville Jaguars,2023,12,0.49218017,-2.2203343,-1.5,7,Houston Texans,-0.015358269214630127,-2.4011422246694565
Kansas City Chiefs,2023,12,0.46385747,-1.0563693,-9.5,13,Las Vegas Raiders,0.01639413833618164,-2.101305365562439
Las Vegas Raiders,2023,12,0.44746333,1.0449361,9.5,13,Kansas City Chiefs,-0.01639413833618164,2.101305365562439
Los Angeles Chargers,2023,12,0.45253038,-1.0167522,3.5,14,Baltimore Ravens,-0.04085266590118408,0.1165395975112915
Los Angeles Rams,2023,12,0.39307106,0.18082196,1.5,10,Arizona Cardinals,-0.11532258987426758,-0.588504433631897
Miami Dolphins,2023,12,0.41881025,-1.2200569,-9.5,3,New York Jets,-0.07966357469558716,-0.7694797217845917
Minnesota Vikings,2023,12,0.49334806,-0.25525308,-3.5,15,Chicago Bears,-0.015863001346588135,-0.18331002444028854
New England Patriots,2023,12,0.47383982,-1.116609,-3.5,9,New York Giants,-0.05915701389312744,-1.8237822651863098
New Orleans Saints,2023,12,0.4649585,-1.0224009,1.5,4,Atlanta Falcons,0.0010960102081298828,-1.158475399017334
New York Giants,2023,12,0.53299683,0.7071733,3.5,9,New England Patriots,0.05915701389312744,1.8237822651863098
New York Jets,2023,12,0.49847382,-0.45057717,9.5,3,Miami Dolphins,0.07966357469558716,0.7694797217845917
Philadelphia Eagles,2023,12,0.47430253,-0.9386791,-3.5,12,Buffalo Bills,-0.01781696081161499,-0.35419762134552
Pittsburgh Steelers,2023,12,0.5028596,-1.1909908,-1.5,6,Cincinnati Bengals,0.01696181297302246,-1.3154726102948189
San Francisco 49ers,2023,12,0.41109747,-0.71560085,-7.0,2,Seattle Seahawks,-0.11641085147857666,-1.5054864883422852
Seattle Seahawks,2023,12,0.5275083,0.78988564,7.0,2,San Francisco 49ers,0.11641085147857666,1.5054864883422852
Tampa Bay Buccaneers,2023,12,0.48481792,-1.0622145,2.5,8,Indianapolis Colts,0.04829967021942139,-0.4469061493873596
Tennessee Titans,2023,12,0.5113039,0.5229864,-4.0,5,Carolina Panthers,0.01768970489501953,0.532190902158618
Washington Commanders,2023,12,0.44666922,-0.022833314,10.5,1,Dallas Cowboys,-0.05280107259750366,-0.08272324502468109
