Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,14,0.5718217,1.0151769,,,,,
Atlanta Falcons,2023,14,0.3539521,0.26372015,-1.5,1.0,Tampa Bay Buccaneers,-0.18916326761245728,0.5259037613868713
Baltimore Ravens,2023,14,0.38844895,-4.2118278,,,,,
Buffalo Bills,2023,14,0.4163106,0.505213,,,,,
Carolina Panthers,2023,14,0.50830495,1.233114,5.5,3.0,New Orleans Saints,0.05669206380844116,2.4686678647994995
Chicago Bears,2023,14,0.62177956,-0.065482795,3.0,4.0,Detroit Lions,0.02691197395324707,-0.37742531299591064
Cincinnati Bengals,2023,14,0.5471202,0.7303758,1.5,5.0,Indianapolis Colts,-0.10703504085540771,1.4946173429489136
Cleveland Browns,2023,14,0.52282655,-0.49373156,-3.0,6.0,Jacksonville Jaguars,-0.02030324935913086,0.4549620747566223
Dallas Cowboys,2023,14,0.35119927,0.80756235,-3.5,12.0,Philadelphia Eagles,-0.16777706146240234,1.5461394786834717
Denver Broncos,2023,14,0.61116886,0.09781218,2.5,11.0,Los Angeles Chargers,0.245993971824646,-0.04929021745920181
Detroit Lions,2023,14,0.5948676,0.31194252,-3.0,4.0,Chicago Bears,-0.02691197395324707,0.37742531299591064
Green Bay Packers,2023,14,0.56311417,-0.4569909,-6.5,13.0,New York Giants,-0.06446152925491333,-0.9045281708240509
Houston Texans,2023,14,0.6404033,1.4288634,-3.5,7.0,New York Jets,0.08575356006622314,1.5033097341656685
Indianapolis Colts,2023,14,0.65415525,-0.7642415,-1.5,5.0,Cincinnati Bengals,0.10703504085540771,-1.4946173429489136
Jacksonville Jaguars,2023,14,0.5431298,-0.94869363,3.0,6.0,Cleveland Browns,0.02030324935913086,-0.4549620747566223
Kansas City Chiefs,2023,14,0.6284168,-0.45807135,,,,,
Las Vegas Raiders,2023,14,0.47182298,0.72475487,3.0,8.0,Minnesota Vikings,-0.0352022647857666,0.021750926971435547
Los Angeles Chargers,2023,14,0.3651749,0.1471024,-2.5,11.0,Denver Broncos,-0.245993971824646,0.04929021745920181
Los Angeles Rams,2023,14,0.45438033,-0.49149865,,,,,
Miami Dolphins,2023,14,0.4587698,-0.57912976,-13.5,14.0,Tennessee Titans,-0.05749845504760742,-1.8248823285102844
Minnesota Vikings,2023,14,0.50702524,0.70300394,-3.0,8.0,Las Vegas Raiders,0.0352022647857666,-0.021750926971435547
New England Patriots,2023,14,0.3267464,-1.8263619,6.0,0.0,Pittsburgh Steelers,-0.24096864461898804,-0.5804451704025269
New Orleans Saints,2023,14,0.4516129,-1.2355539,-5.5,3.0,Carolina Panthers,-0.05669206380844116,-2.4686678647994995
New York Giants,2023,14,0.6275757,0.44753727,6.5,13.0,Green Bay Packers,0.06446152925491333,0.9045281708240509
New York Jets,2023,14,0.5546497,-0.07444633,3.5,7.0,Houston Texans,-0.08575356006622314,-1.5033097341656685
Philadelphia Eagles,2023,14,0.51897633,-0.7385771,3.5,12.0,Dallas Cowboys,0.16777706146240234,-1.5461394786834717
Pittsburgh Steelers,2023,14,0.56771505,-1.2459167,-6.0,0.0,New England Patriots,0.24096864461898804,0.5804451704025269
San Francisco 49ers,2023,14,0.6325175,0.9206022,-10.5,9.0,Seattle Seahawks,0.11783713102340698,1.6603078842163086
Seattle Seahawks,2023,14,0.5146804,-0.7397057,10.5,9.0,San Francisco 49ers,-0.11783713102340698,-1.6603078842163086
Tampa Bay Buccaneers,2023,14,0.5431154,-0.2621836,1.5,1.0,Atlanta Falcons,0.18916326761245728,-0.5259037613868713
Tennessee Titans,2023,14,0.51626825,1.2457526,13.5,14.0,Miami Dolphins,0.05749845504760742,1.8248823285102844
Washington Commanders,2023,14,0.53442824,0.6725353,,,,,
