Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,7,0.43133396,1.8304483,7.5,7.0,Seattle Seahawks,-0.08286744356155396,2.928434133529663
Atlanta Falcons,2023,7,0.42664185,-0.4491651,2.5,4.0,Tampa Bay Buccaneers,-0.020663976669311523,-3.971496820449829
Baltimore Ravens,2023,7,0.49295387,-1.0979859,-3.0,1.0,Detroit Lions,0.016896605491638184,-0.3944683074951172
Buffalo Bills,2023,7,0.48528907,-1.0979859,-8.5,2.0,New England Patriots,0.0074811577796936035,-2.807524800300598
Carolina Panthers,2023,7,0.4077837,-1.0979859,,,,,
Chicago Bears,2023,7,0.45666376,-0.70351756,3.0,5.0,Las Vegas Raiders,-0.11851230263710022,-1.3291873931884766
Cincinnati Bengals,2023,7,0.28434432,-1.6008633,,,,,
Cleveland Browns,2023,7,0.34506878,-0.49658602,-2.5,6.0,Indianapolis Colts,-0.15379071235656738,0.850679337978363
Dallas Cowboys,2023,7,0.62248105,2.4581335,,,,,
Denver Broncos,2023,7,0.52311003,0.110931516,1.5,9.0,Green Bay Packers,-0.17644745111465454,-3.094131112098694
Detroit Lions,2023,7,0.47605726,-0.70351756,3.0,1.0,Baltimore Ravens,-0.016896605491638184,0.3944683074951172
Green Bay Packers,2023,7,0.6995575,3.2050626,-1.5,9.0,Denver Broncos,0.17644745111465454,3.094131112098694
Houston Texans,2023,7,0.52563757,0.06207388,,,,,
Indianapolis Colts,2023,7,0.4988595,-1.3472654,2.5,6.0,Cleveland Browns,0.15379071235656738,-0.850679337978363
Jacksonville Jaguars,2023,7,0.6035445,-0.058394715,1.5,0.0,New Orleans Saints,0.1759772002696991,-0.6570268720388412
Kansas City Chiefs,2023,7,0.5867719,2.409521,-5.5,10.0,Los Angeles Chargers,0.021237492561340332,-0.14124560356140137
Las Vegas Raiders,2023,7,0.57517606,0.62566984,-3.0,5.0,Chicago Bears,0.11851230263710022,1.3291873931884766
Los Angeles Chargers,2023,7,0.5655344,2.5507667,5.5,10.0,Kansas City Chiefs,-0.021237492561340332,0.14124560356140137
Los Angeles Rams,2023,7,0.58107066,3.2050626,-3.0,8.0,Pittsburgh Steelers,0.02480494976043701,3.9275341629981995
Miami Dolphins,2023,7,0.35706997,2.023321,2.5,11.0,Philadelphia Eagles,-0.19567447900772095,2.377619683742523
Minnesota Vikings,2023,7,0.5533998,-0.14271638,7.0,12.0,San Francisco 49ers,0.08183646202087402,0.8582247793674469
New England Patriots,2023,7,0.4778079,1.7095389,8.5,2.0,Buffalo Bills,-0.0074811577796936035,2.807524800300598
New Orleans Saints,2023,7,0.42756727,0.59863216,-1.5,0.0,Jacksonville Jaguars,-0.1759772002696991,0.6570268720388412
New York Giants,2023,7,0.36320058,-0.4477284,2.5,3.0,Washington Commanders,-0.09854134917259216,0.6502574682235718
New York Jets,2023,7,0.5276354,-0.54820967,,,,,
Philadelphia Eagles,2023,7,0.55274445,-0.35429877,-2.5,11.0,Miami Dolphins,0.19567447900772095,-2.377619683742523
Pittsburgh Steelers,2023,7,0.5562657,-0.72247154,3.0,8.0,Los Angeles Rams,-0.02480494976043701,-3.9275341629981995
San Francisco 49ers,2023,7,0.47156334,-1.0009412,-7.0,12.0,Minnesota Vikings,-0.08183646202087402,-0.8582247793674469
Seattle Seahawks,2023,7,0.5142014,-1.0979859,-7.5,7.0,Arizona Cardinals,0.08286744356155396,-2.928434133529663
Tampa Bay Buccaneers,2023,7,0.44730583,3.5223317,-2.5,4.0,Atlanta Falcons,0.020663976669311523,3.971496820449829
Tennessee Titans,2023,7,0.5427211,-0.5943539,,,,,
Washington Commanders,2023,7,0.46174192,-1.0979859,-2.5,3.0,New York Giants,0.09854134917259216,-0.6502574682235718
