Team,Year,Week,coverprob,predspread,spread,order,opponent,coverprob_diff,predspread_diff
Arizona Cardinals,2023,11,0.6676101,0.07442166,4.5,1.0,Houston Texans,-0.17417120933532715,0.05678719840943813
Atlanta Falcons,2023,11,0.12897575,0.01763446,,,,,
Baltimore Ravens,2023,11,0.6049242,-0.10113105,-3.5,0.0,Cincinnati Bengals,-0.23216784000396729,-0.3684961795806885
Buffalo Bills,2023,11,0.20171386,0.01763446,-7.0,10.0,New York Jets,-0.6584275960922241,-0.11274530552327633
Carolina Panthers,2023,11,0.68058443,0.16892114,10.5,2.0,Dallas Cowboys,0.42252010107040405,0.007423803210258484
Chicago Bears,2023,11,0.67236793,0.01763446,7.5,3.0,Detroit Lions,-0.09369874000549316,-0.14544867537915707
Cincinnati Bengals,2023,11,0.83709204,0.26736513,3.5,0.0,Baltimore Ravens,0.23216784000396729,0.3684961795806885
Cleveland Browns,2023,11,0.94934344,0.35887232,-1.5,4.0,Pittsburgh Steelers,0.6777176260948181,1.7442786991596222
Dallas Cowboys,2023,11,0.25806433,0.16149734,-10.5,2.0,Carolina Panthers,-0.42252010107040405,-0.007423803210258484
Denver Broncos,2023,11,0.13848019,0.22786391,-2.5,12.0,Minnesota Vikings,-0.45518946647644043,-0.03950121998786926
Detroit Lions,2023,11,0.7660667,0.16308314,-7.5,3.0,Chicago Bears,0.09369874000549316,0.14544867537915707
Green Bay Packers,2023,11,0.32971555,-0.36901096,3.0,5.0,Los Angeles Chargers,-0.5279512405395508,-0.605764776468277
Houston Texans,2023,11,0.8417813,0.01763446,-4.5,1.0,Arizona Cardinals,0.17417120933532715,-0.05678719840943813
Indianapolis Colts,2023,11,0.2090196,-0.36901096,,,,,
Jacksonville Jaguars,2023,11,0.3520105,-1.4955606,-7.0,6.0,Tennessee Titans,-0.12353968620300293,-1.6436748206615448
Kansas City Chiefs,2023,11,0.39563125,-0.8107241,-2.5,13.0,Philadelphia Eagles,0.2848402261734009,-0.7574656009674072
Las Vegas Raiders,2023,11,0.5245228,0.08404729,12.5,7.0,Miami Dolphins,0.2817826271057129,1.6278445422649384
Los Angeles Chargers,2023,11,0.8576668,0.23675382,-3.0,5.0,Green Bay Packers,0.5279512405395508,0.605764776468277
Los Angeles Rams,2023,11,0.60590243,-0.22259249,1.0,11.0,Seattle Seahawks,0.19271421432495117,-0.07149544358253479
Miami Dolphins,2023,11,0.24274015,-1.5437973,-12.5,7.0,Las Vegas Raiders,-0.2817826271057129,-1.6278445422649384
Minnesota Vikings,2023,11,0.59366965,0.26736513,2.5,12.0,Denver Broncos,0.45518946647644043,0.03950121998786926
New England Patriots,2023,11,0.17384154,-1.3854064,,,,,
New Orleans Saints,2023,11,0.13338971,-1.5437973,,,,,
New York Giants,2023,11,0.41641068,0.20258433,9.5,8.0,Washington Commanders,-0.43645787239074707,0.0
New York Jets,2023,11,0.86014146,0.13037977,7.0,10.0,Buffalo Bills,0.6584275960922241,0.11274530552327633
Philadelphia Eagles,2023,11,0.11079103,-0.05325848,2.5,13.0,Kansas City Chiefs,-0.2848402261734009,0.7574656009674072
Pittsburgh Steelers,2023,11,0.27162582,-1.3854064,1.5,4.0,Cleveland Browns,-0.6777176260948181,-1.7442786991596222
San Francisco 49ers,2023,11,0.16662174,-0.22259249,-11.5,9.0,Tampa Bay Buccaneers,-0.20950394868850708,1.1811388581991196
Seattle Seahawks,2023,11,0.41318822,-0.15109704,-1.0,11.0,Los Angeles Rams,-0.19271421432495117,0.07149544358253479
Tampa Bay Buccaneers,2023,11,0.3761257,-1.4037313,11.5,9.0,San Francisco 49ers,0.20950394868850708,-1.1811388581991196
Tennessee Titans,2023,11,0.47555017,0.14811417,7.0,6.0,Jacksonville Jaguars,0.12353968620300293,1.6436748206615448
Washington Commanders,2023,11,0.85286856,0.20258433,-9.5,8.0,New York Giants,0.43645787239074707,0.0
